Age,Average Age,Min Age,Ma Age,Total N,Ages reported in groups/not in groups,or take bottom value/upper value of the total
X,,,,,,
X,,,,,,
M: 26-45; F: 20-50,,,,18,,
"32-56, mean 40",40,32,56,60,,
X,,,,,,
X,,,,,,
37-40 weeks,,,,25,,
24.4 +/- 5.7,24.4,,,20,,
mean 29.4 years (σ = 8.52 years),29.4,,,31,,
25,25,,,1,,
"fNIRS: 29, SD 5.92; EEG: 27 SD 4.29",,,,16,,
X,,,,22,,
PD mean age = 59.0; control mean age: 60,,,,85,,
21-27 weeks,,,,39,,
"Young: mean age 23, standard deviation 2; Elderly: mean age 73, standard deviation 3",,,,,,
mean 26.05,26.05,,,20,,
"32 +/- 6.8 for ARR, 23+/- 4.8 for NR",,,,26,,
weeks 21-40 of pregnancy,,,,,,
Men: aged 28.5 to 76; Women: aged 58 to 73,,,,54,,
"ages 20 to 43 years (Mean = 25 years, standard deviation = 4.7 years)",25,20,43,28,,
X,,,,,,
22-34,,22,34,20,,
X,,,,,,
"young cohort: Mean age = 21.0 (SD = 1.36 years)
old cohort: Mean age = 50.0 (SD = 10.4 years)",,,,36,,
mean 28.7±1.2,28.7,,,10,,
31-48,,31,48,5,,
19-37,,19,37,30,,
infants 9 3/7 to 34 2/7 weeks (mean: 31 1/7 weeks) and study weights of 843 to 2100 grams (mean: 1468 grams),,,,,,
"age 17 to 87, mean 57.2; ages were not recorded for 1 female and 14 male subjects",57.2,17,87,290,,
"0-95 (median 62, IQR 22)",62,0,95,18869,,
22-34,,22,34,,,
ages from 20 to 53 with a mean of 28.52 years,28.52,20,53,22,,
N,,,,,,
mean 25.5,25.5,,,10,,
N,,,,,,
mean 39.8,39.8,,,27,,
"71 <1 YO, 10 > 18 YO",,,,8,,
54.9,54.9,,,16,,
X,,,,,,
X,,,,,,
"16 to 47 years, mean±SD: 29.3±5.8",29.3,16,47,109,,
mean 35.8,35.8,,,17,,
X,,,,,,
X,,,,,,
44.21875,44.22,,,32,,
>=40,,40,,,,
">=55, 72-7",,,,139,,
N,,,,57,,
N,,,,,,
18-80; mean 58,58,18,80,32,,
X,,,,,,
"50 ± 10 years, range 28-68 years",50,28,68,25,,
17-82,,17,82,18,,
X,,,,31,,
X,,,,,,
50-79,,50,79,,,
X,,,,,,
X,,,,300,,
X,,,,31,,
0-21; 6.1 +/- 4.3,6.1,0,21,1568,,
10-63; mean = 28.979,28.979,10,63,992,,
X,,,,,,
26.3 +/- 3.7 years,26.3,,,10,,
X,,,,39,,
25-35,,25,35,15,,
mean = 25.80,25.8,,,,,
"N, 18-70",,18,70,,,
>= 65,,65,,80,,
"mean = 65.23, SD = 12.12",65.23,,,92,,
22-32 (mean = 26.5),26.5,22,32,8,,
Found in individual data files,,,,133,,
60 ± 10 (males);      63 ± 8 (females)                 ,,,,769,,
 65.2 ± 8 years (publication)       aged 55 to 75 years)  (physionet),65.2,55,75,,,
Synthetic dataset,,,,80,,
21-35,,21,35,,,
"ST mean 40.18, SC mean 59 ",,,,175,,
55-75,,55,75,51,,
Stroke: 	64.21 (±8.94)            Control: 64.48 (±8.07),,,,90,,
26.47 (raw data),26.47,,,4210,,
26.97 (raw),26.97,,,5232,,
Minimum Age: 15;        Maimum Age: >89,,15,89,2203,,
