Study Name/Number,Race,Race Present,Ethnicity,Ethnicity Present,Study sample size,Gender/Sex,Sex Present,Male,Female,Unknown / Not Reported,Total N,Age,Age Present,Average/Median Age (years),Min Age (years),Max Age (years),Country/Region,Location ,Pre-existing conditions and/or Symptoms,Instruments used,Socioeconomic Status,Data Collected (differnent levels of),Date Study was Conducted/Published,Date Study Posted on PhysioNet,Field
"A Wearable Exam Stress Dataset for Predicting Cognitive Performance in Real-World Settings: The data contains electrodermal activity, heart rate, blood volume pulse, skin surface temperature, inter beat interval and accelerometer data recorded during three exam sessions (midterm 1, midterm 2 and finals) as well as their corresponding grades",X,0,X,0,10,X,0,X,X,,10,X (college  students were studied),0,X,X,X,USA,Texas (University of Houston,X,Empatica E4 wristband,," electrodermal activity, heart rate, blood volume pulse, skin surface temperature, inter beat interval and accelerometer data",,,multi_parameter
Behavioral and autonomic dynamics during propofol-induced unconsciousness: Multimodal point process indices for heart rate variability and electrodermal activity for 9 subjects who are undergoing a controlled propofol sedation experiment where the concentration was increased and then decreased in stages.,X,0,X,0,9,X,0,X,X,,9,X,0,X,X,X,USA,"Boston, Massachusetts (Massachusetts General Hospital)","-""healthy volunteers""",2 electrodes placed on hand to measure electrodermal activity,-,Continuous ECG and EDA were collected. LOC and ROC times were annotated based on the lack of patients' response to pressing a button,,,multi_parameter
BIDMC Congestive Heart Failure Database: Long-term ECG recordings from 15 subjects with severe congestive heart failure.,X,0,X,0,15,11 men               4 women,1,11,4,,15,Men (22-71)       Women (54-63),1,56.3 (age of patient 6 reported as unknown),22,71,USA,"Boston, Massachusetts (Beth Israel Hospital)","Severe congestive HF (NYHA Class 3-4)        -conventional medical therapy prior to receiving the oral inotropic agent, milrinone.",Ambulatory ECG recorders with bandwidth of 0.1 Hz. ,-,ECG recordings,,,cardiac_electrophysiology
"BIDMC PPG and Respiration Dataset: ECG signals extracted from the MIMIC-II Matched Waveform Database, with manual breath annotations added by annotators using impedance respiratory signal.",X,0,X,0,53,32 females          21 males,1,21,32,,53,-Median Age: 64.81  (unknown age for one patient)             -Age Range: 19-90+,1,64.81 (reported median),19,,USA,"Boston, Massachusetts (Beth Israel Hospital)",Critically-ill patients,CareVue Clinical Information System (models M2331A and M1215A                Component Monitoring System Intellivue MP-70; Philips Healthcare) ,-,-PPG recordings and respiratory signals,,,multi_parameter
BIG IDEAs Lab Glycemic Variability and Wearable Device Data: Glucose measurements and wrist-worn wearable sensor data from highnormoglycemic participants.,X,0,X,0,16,7 males; 9 females ,1,7,9,,16,35 - 65,1,,35,65,USA,"Durham, North Carolina (Duke)","- only post-menopausal females                      -point of care A1C measurement between 5.2-6.4%, inclusive",-Dexcom 6 continuous glucose monitor (CGM)                                   -Empatica E4 Wristband,-,"-measurement of glucose, hemoglobin A1C, lipoproteins, and triglycerides                        -heart rate, accelerometry, and electrodermal conductance",,,clinical
Body Sway When Standing and Listening to Music Modified to Reinforce Virtual Reality Environment Motion: This data were intended to show that music manipulated to match VR motion provided by an Oculus Rift head mounted display increased body sway when standing still.,X,0,X,0,28,13 male              15 female,1,13,15,,28,18-35,1,,18,35,USA,"Indianapolis, Indiana (Indiana University Purdue University)","-Subjects did not have any of the following exclusion criteria: vertigo, motion sickness, or vestibular deficits",Oculus Rift head mounted display,-,"-anterior posterior (AP) and medial lateral (ML) center of pressure movement                                                -subjects experienced combinations of 3 visual conditions (VR translation in the AP direction at 0.1 Hz, no translation, and eyes closed) and 4 music conditions (Mozart’s Jupiter Symphony modified to scale volume at 0.1 Hz and 0.25 Hz, unmodified music, and no music",,,gait/balance
Brain Hemorrhage Extended (BHX): Bounding box extrapolation from thick to thin slice CT images: The first version of this dataset was made available in the forum of Kaggle competition 'RSNA Intracranial Hemorrhage Detection' (v1.0). Then minor corrections were implemented (v1.1).,X,0,X,0,205,X,1,313,178,,205,X,0,X,X,X,India,Multiple centers around India,-excluded postoperative scans and scans of patients younger than 7 years. ,-,-,"-dataset head CT scans and respective clinical reports                   -annotations of  bounding box annotations for 5 types of acute hemorrhage (Intraparenchymal, Subarachnoid, Intraventricular, Epidural, Subdural, and extra sixth label for Chronic Subdural Hematoma)",,,radiology
Brno University of Technology ECG Quality Database (BUT QDB): The database is intended for the development and objective comparison of algorithms designed to assess the quality of ECG records. It also enables objective comparison of results between authors.,X,0,X,0,15,-9 female; 6 male,1,6,9,,15,"21 to 83 years; mean: 41 years, median: 37 years",1,41,21,83,Czehcia (Czech Republic),"Brno, Czehcia (Czech Republic)","-Patients took part in all ""free-living conditions"" with the Bittius Faros 180 device (except for bathing, showering, and swimming in order to protect the device)",-Bittium Faros 180 device (ECG recorder with integrated accelerometer),X,-ECG and accelerometer signals,,,cardiac_electrophysiology
"CAP Sleep Database: The CAP Sleep Database is a collection of 108 polysomnographic recordings registered at the Sleep Disorders Center of the Ospedale Maggiore of Parma, Italy. The waveforms (contained in the .edf files…",X,0,X,0,108,66 male    42 female,1,66,42,,108,14-82 (age range); 45.2 (average),1,45.2,14,82,Italy,"Parma, Italy (Sleep Disorders Center of the Ospedale Maggiore)","-The 16 healthy subjects included in the study did not present any neurological disorders and were free of drugs affecting the central nervous system. The 92 pathological recordings include 40 recordings of patients diagnosed with NFLE, 22 affected by RBD, 10 with PLM, 9 insomniac, 5 narcoleptic, 4 affected by SDB and 2 by bruxism.",X,X,-periodic EEG activity occurring during NREM sleep (polysomnographic recordings);                      -characterized by cyclic sequences of cerebral activation (phase A) followed by periods of deactivation (phase B) which separate two successive phase A periods with an interval <1 min.,,,multi_parameter
Cardiorespiratory measurement from graded cycloergometer exercise testing: Cardiorespiratory measurements acquired during 18 exercise tests performed at French West Indies University,X,0,X,0,18,10 males; 8 females,1,10,8,,18,15.2 ± 2 year-old,1,15.2,12,18,France,"French West Indies (Guadeloupe, France)","Participants belonged to a national division of fencing, or a regional division of sprint kayak and triathlon","SRM Indoor Trainer electronic cycloergometer (Schoberer Rad Meßtechnik, Jülich, Germany); Metalyzer 3B gas analyzer system (CORTEX Biophysik GmbH, Leipzig, Germany); Electro Cardiogramm (ECG) recordings (Cardio 110BT, Customed, Ottobrunn, Germany, with 12 derivations)",X,"- cardiorespiratory measurements acquired during 18 cycloergometer maximal graded exercise tests ;   -Data correspond to heart R-wave to R-wave intervals, Oxygen consumption, and mechanical power output on a beat-to-beat basis recorded all along the graded exercise test sessions;       -Clinical data of the participants (i.e. age, Weight, Height, Power at ventilatory threshold 1 and 2, and sport discipline) also collected",,,cardiorespiratory
"Cerebral perfusion and cognitive decline in type 2 diabetes: Dataset collected during a study on type 2 diabetes on brain blood flow, vasoreactivity and functional outcomes (gait and balance) using TCD, MRI perfusion and foot pressure distribution and gait measures.",X,0,X,0,"140 (70 with Type II Diabetes mellitus; 70 control) as reported in summary; however, associated csv summary data file only shows 88 records (13 control; 75 Diabetes Mellitus)",-38 females; 50 males on GE-75 Excel Sheet,1,51,38,,88,50-85,1,65.8,50,85,USA,"Boston, Massachusetts (Beth Israel Deaconess Medical Center)","-Experiemntal Group had Type II Diabetes and were treated for at least 1 year; Control Group were not being treated for any systemic cardiovascular, renal, or 
neurological disease and with no focal deficit on neurological exam, had normal glucose and HbA1c, and 
were normotensive (BP<140/90mm Hg) or diagnosed with hypertension.",X,X,"-Blood flow velocities were measured in the anterior and middle cerebral arteries using transcranial Doppler ultrasound. Cerebral vasoregulation was evaluated by comparing blood flow velocity responses during hypocapnia and hypercapnia, Valsalva maneuver, head-up tilt and sit-to-stand test using simultaneous recordings of cardiovascular variables, blood flow velocity in the anterior and middle cerebral artery using transcranial Doppler and respiratory variables. ",,,gait/balance
"CHARIS database: Multi-channel recordings of ECG, arterial blood pressure (ABP), and intracranial pressure (ICP) of patients diagnosed with traumatic brain injury.",X,0,X,0,13 (per Excel records),"5 males, 4 females, 4 not reported",1,5,4,4,13,Average age: 46 (ages of 3 subjects not reported),1,46,19,74,USA,"Rutgers, New Jersey (Robert Wood Johnson Medical Center)",X,"General Electric TRAM-rac 4A; micro transducers (Camino Direct Pressure Monitor, Camino Laboratories, San Diego, CA; fluid-filled catheter (Arterial Line, Edwards LifeSciences Inc.).",X,"multi-channel recordings of ECG, arterial blood pressure (ABP), and intracranial pressure (ICP) of patients diagnosed with traumatic brain injury (TBI).",,,multi_parameter
"CHB-MIT Scalp EEG Database: EEG recordings from pediatric subjects with intractable seizures, collected at the Children’s Hospital Boston.",X,0,X,0,22 subjects; 24 available recordings,5 males; 17 females,1,5,17,,22,3-22 (male); 1.5-19 (female),1,9.98 (1 subject in this study was studied again after 1.5 years; both files included in dataset),1.5,22,USA,"Boston, Massachusetts (Children's Hospital Boston)",X,,X,EEG recordings from pediatric subjects with intractable seizures,,,neuroelectric
"CiPA ECG Validation Study: ECG effects of ranolazine, verapamil, lopinavir+ritonavir, chloroquine, dofetilide, diltiazem, and dofetilide+diltiazem in a small clinical study.",X,0,X,0,60 (total); 50 in Part 1; 10 in Part 2 (cross-over study),22 women; 38 men,1,38,22,,60,31.7 ± 8.7 years,1,31.7,19,50,USA,"West Bend, Wisconsin",All healthy subjects, ECG recordings were performed using the Mortara Surveyor system sampled at 500 Hz with an amplitude resolution of 2.5 μV,X,multi-channel ECG recordings,,,cardiac_electrophysiology
Clinical data from the MIMIC-II database for a case study on indwelling arterial catheters: Dataset extracted from MIMIC-II for a tutorial on effectiveness of indwelling arterial catheters in hemodynamically stable patients with respiratory failure for mortality outcomes.,X,0,X,0,1776 patients,"750 female, 1,025 male",1,1025,751,1,1776,54.376 years,1,54.4,15.2,99.1,USA,,patients who were mechanically ventilated during the first day of ICU admissio,X,X,"46 variables, including demographics (e.g. age, weight), clinical observations collected during the first day of ICU stay (e.g. white blood cell count, heart rate), and outcomes (e.g. 28 day mortality and length of stay).",,,clinical
"Combined measurement of ECG, Breathing and Seismocardiograms: ECG and seismocardiogram data collected from 20 presumed healthy volunteers.",X,0,X,0,20 patients (60 records) as reported on Physionet; 17 patients as reported in associated publication,6 females; 11 males; 3 unknown (gender not specified via individual files on Physionet),1,11,6,3,20,24.7 years ± 3.9 years (reported in associated publication),1,24.7,X,X,Spain,"Barcelona, Spain",healthy patients,"Biopac MP36 data acquisition system (Santa Barbara, CA, USA); respiratory signal obtained from a thoracic piezoresistive band (SS5LB sensor by Biopac, Santa Barbara, CA, USA)",X,"measurement of ECG, Breathing and Seismocardiograms",,,multi_parameter
Complex Upper-Limb Movements: Hand trajectory data collected from ten subjects as they performed various upper-limb motor tasks.,X,0,X,0,10,7 male; 3 female,1,7,3,,10,26.4±4.52 years,1,,,,USA,"Boston, Massachusetts (Spaulding Rehabilitation Hospital)",Patients with no known neurological or orthopedic conditions affecting the control of motion,"camera-based motion capture system (VICON, Oxford UK)",X,"x-, y-, and z-coordinates of the reflective marker utilized in each experiment to represent the hand trajectory of movement",,,gait/balance/motion
"Congestive Heart Failure RR Interval Database: This database includes beat annotation files for 29 long-term ECG recordings of subjects aged 34 to 79, with congestive heart failure (NYHA classes I, II, and III).",X,0,X,0,31,8 males; 2 females; 19 unknown,1,8,2,19,29,34-79,1,55.3,34,79,USA,"Boston, Massachusetts (Beth Israel Deaconess Medical Center)","Patients had congestive heart failure (NYHA classes I, II, and III)",X,x,ECG recordings,,,cardiac_electrophysiology
Continuous Cuffless Monitoring of Arterial Blood Pressure via Graphene Bioimpedance Tattoos: Cuffless blood pressure data repository that includes raw time data for 4-channel Bioimpedance signals using Graphene Tattoos from the wrist with synchronized continuous blood pressure and PPG signals from 7 subjects,X,0,X,0,7,X,0,X,X,,7,"Patients were in ""mid-twenties""",1,,,,USA,"College Station, University of Texas A&M",No individuals with hypertension were specifically selected for this proof-of-concept study.,"analog-to-digital converter (ADS1278, Texas Instruments, USA);  Finapres NOVA BP system.",X,raw time data for the 4-channel GET Bioimpedance signals with BP and PPG signals,,,cardiovascular
CPAP Pressure and Flow Data from a Local Trial of 30 Adults at the University of Canterbury: A pressure and flow dataset was collected from a trial of 30 adults at the University of Canterbury undergoing CPAP therapy for a variety of instructed breath rates at PEEP levels of 4cmH2O and 7cmH2O.,X,0,X,0,30,15 male; 15 female (50/50),1,15,15,,30,19-58 (average age: 25.1),1,25.1,19,58,New Zealand,New Zealand,"30 healthy patients studied (also included vapers, smokers, and asthmatics)","dual-Venturi apparatus (Figure 2) with central expiration hole was 3D printed to fit standard CPAP masks (FreeMotion RT041, Fisher and Paykel Healthcare, New Zealand); central Arduino unit (Nano V3, Baite Electronics, China) in analogue-to-digital converter (ADC) counts; differential pressure sensors (Sensirion AG SDP816-125PA) and gauge pressure sensors (NXP MPVZ4006GW7U)",X,PAP Pressure and Flow Data,,,respiratory
CTU-CHB Intrapartum Cardiotocography Database: 552 cardiotocography records collected between 2010 and 2012 at the Czech Technical University and University Hospital in Brno.,X,0,X,0,552 cardiotocography recordings,All females,1,0,552,,552,Maternal subjects: avergage is 29.8 (18-46)                 average gestational age: 40 weeks (range: 37 weeks - 43),1,29.8,18,46,Czech Republic,"Brno, Czech Republic","Singleton pregnancy
Gestational age >36 weeks
No a priori known developmental defects
Duration of stage 2 of labor ≤ 30 minutes
FHR signal quality (i.e. percentage of the recording during which FHR data were available) > 50% in each 30 minute window
Available analysis of biochemical parameters of umbilical arterial blood sample (i.e. pH)
Majority of vaginal deliveries (only 46 cesarean section (CS) deliveries included)","The CTGs were recorded using STANS21 and S31 (NeoventaMedical,Mölndal,Sweden) and AvalonFM40 and FM50 (PhilipsHealthcare,Andover,MA) fetalmonitors. All CTG signals were stored in an Electronicform in the OB TraceVue®system (Philips)",X,cardiotocography recordings,,,cardiovascular
CUILESS2016: A corpus of Concept Unique Identifier concepts taken from the SemEval2015 Task 14.,X,0,X,0,5397 disorder mentions were annotated,X,0,X,X,,X,X,0,,,,USA,X,X,X,X,"corpus of ""CUI-less"" concepts taken from the SemEval2015 Task 14 that have been assigned CUIs.",,,other
"CU Ventricular Tachyarrhythmia Database: This database includes 35 eight-minute ECG recordings of human subjects who experienced episodes of sustained ventricular tachycardia, ventricular flutter, and ventricular fibrillation.",X,0,X,0,35 eight-minute ECG recordings,X,0,X,X,,X,X,0,,,,USA,"Omaha, Nebraska","subjects who experienced episodes of sustained ventricular tachycardia, ventricular flutter, and ventricular fibrillation.",X,X,8-minute ECG recordings,,,cardiac_electrophysiology
ECG Fragment Database for the Exploration of Dangerous Arrhythmia: Dataset derived from the MIT-BIH Malignant Ventricular Ectopy Database.,X,0,X,0,Each of six classes represented by sample of 90 objects (total of 540 objects),X,0,X,X,,X,X,0,,,,USA,"No stated physical location; collected from MIT-BIH Malignant Ventricular Ectopy Database
","6 classes; 1. Life-threatening arrhythmias requiring urgent resuscitation:
VFL: ventricular flutter;
VF: ventricular fibrillation.
A special form of life-threatening arrhythmias:
VTTdP: ventricular tachycardia torsade de pointes.
Life-threatening ventricular arrhythmias:
VTHR: high rate ventricular tachycardia (monomorphic and polymorphic).
Potentially dangerous ventricular arrhythmias:
VTLR: low rate ventricular tachycardia (monomorphic and polymorphic);
B: ventricular bigeminy;
HGEA: high degree of ventricular ectopic activity;
VER: ventricular escape rhythm.
Supraventricular arrhythmias:
AFIB: atrial fibrillation;
SVTA: supraventricular tachycardia;
SBR: sinus bradycardia;
BI: first-degree heart block;
NOD: nodal (a-v) rhythm.
Sinus rhythm:
BBB: sinus rhythm with bundle branch block;
N: normal sinus rhythm;
Ne: normal rhythm with single extrasystole.",X,X,2 second fragments of ECG signals,,,cardiac_electrophysiology
ECG-ID Database: ECG recordings from 90 volunteers.,X,0,X,0,310 ECG recordings from 90 patients,44 men; 46 women,1,44,46,,90,13-75,1,28.4,13,75,Russia,"Petersburg, Russia",X,X,X,single-lead ECG recordings,,,cardiac_electrophysiology
EEG During Mental Arithmetic Tasks: The database contains EEG recordings of subjects before and during the performance of mental arithmetic tasks.,X,0,X,0,36,27 women; 9 men,1,9,27,,36,18.25 (average),1,18.25,16,26,Ukraine,"Kyiv, Ukraine","The participants were eligible to enroll in the study if they had normal or corrected-to-normal visual acuity, normal color vision, had no clinical manifestations of mental or cognitive impairment, verbal or non-verbal learning disabilities. Exclusion criteria were the use of psychoactive medication, drug or alcohol addiction and psychiatric or neurological complaints.","Neurocom EEG 23-channel system (Ukraine, XAI-MEDICA)",X,EEG recordings of subjects before and during the performance of mental arithmetic tasks.,,,neuroelectric
EEG Motor Movement/Imagery Dataset: EEG recordings obtained from 109 volunteers.,X,0,X,0,"data set consists of over 1500 one- and two-minute EEG recordings, obtained from 109 volunteers",X,0,X,X,X,109,X,0,X,X,X,USA,"Albany, New York",X, 64-channel EEG were recorded using the BCI2000 system (http://www.bci2000.org),X,64 channel EEG recordings while subjects were performing different motor/imagery tasks,,,neuroelectric
"EEG Signals from an RSVP Task: This project contains EEG data from 11 healthy participants upon rapid presentation of images through the Rapid Serial Visual Presentation (RSVP) protocol at speeds of 5, 6, and 10 Hz.",X,0,X,0,11,"4 females; 7 males (noted on associated publication, not on PhysioNet summary or raw data files)",1,7,4,,11,"24.3 ± 3.7 (range of 19-33) (noted on associated publication, not on Physionet page/summary nor raw data files)",1,24.3,19,33,UK,"Essex, England (University of Essex)",Patients had normal or corrected-to-normal vision,BioSemi ActiveTwo system at a sample rate of 2048 Hz (collecting EEG signals),X,"contains EEG data from patients after presentation of images through the Rapid Serial Visual Presentation (RSVP) protocol at speeds of 5, 6, and 10 Hz",,,neuroelectric
Effect of 24-hour sleep deprivation on cerebral hemodynamics and cognitive performance: We assessed the impact of 24-hour sleep deprivation on the global properties of frontal lobe functional networks and on cognitive performance. fNIRS measurements were carried out in the resting state and in response to a finger-tapping paradigm.,X,0,X,0,originally 10 subjects; 1 subject excluded due to poor quality of NIRS signals,all males,1,10,0,0,9,27.6±3.7 ,1,27.6,X,X,USA,"Norman, Oklahoma (University of Oklahoma)",X," NIRScout platform (NIRx Medical Technologies LLC, NY, USA) for NIRS measurements",X, functional near-infrared spectroscopy (fNIRS) measurements and recordings,,,near infrared spectroscopy
Effect of Deep Brain Stimulation on Parkinsonian Tremor: Rest tremor velocity in the index finger of 16 subjects with Parkinson's disease who receive chronic high frequency electrical deep brain stimulation.,X,0,X,0,16,11 males; 5 females,1,11,5,,16,Patients with high amplitude tremor: 58.5 ±  9.8;     Patients with low amplitude tremor: 52.8 ± 10.2,1,55.6,37,71,X,X,"Patients had Parkinson's Disease. In this study, patients were dividided into two groups: patients with high amplitude tremor and patients with low amplitude tremor",X,X,rest tremor velocity in the index finger of patients with Parkinson's Disease,,,neuroelectric
"Electrocardiogram, skin conductance and respiration from spider-fearful individuals watching spider video clips: Dataset used for development of an algorithm for on-line anxiety level detection from biosignals.",X,0,X,0,57 on PhysioNet database; 80 in associated publication,X,0,X,X,,57,"not specified in this PhysioNet  dataset; however, in original publication, 80 subjects aged between 18 and 40 years participated in the study",0,X,X,X,Germany,"Saarbrücken, Germany (Saarland University)",All individuals studied were scared of spiders. ,"wearable BITalino biosignal measurement device (PLUX – Wireless Biosignals S.A., Lisbon, Portugal)",X,"lectrocardiogram, skin conductance and respiration as raw data (unfiltered, unprocessed) recorded from consented, spider-fearful individuals using the wearable BITalino biosignal measurement device ",,,multi_parameter
"EPHNOGRAM: A Simultaneous Electrocardiogram and Phonocardiogram Database: An open-access database recorded during the EPHNOGRAM project, consisting of simultaneous electrocardiogram (ECG) and phonocardiogram (PCG) recordings from young healthy adults, during stress-test experiments.",X,0,X,0,24,all males in Physionet dataset,1,24,0,,24,"between 23 and 29 (average: 25.4 ± 1.9 years) ; In CSV spreadsheet on PhysioNet, age is missing for three of the male subjects",1,25.4,23,29,Iran,X,X,Study developed their own instrument for simultaneous ECG and PCG recordings,X,"evelopment of low-cost and low-power devices for recording simultaneous electrocardiogram (ECG) and phonocardiogram (ECG) data, with auxiliary channels for capturing environmental audio noise, which could be used for PCG quality enhancement through signal processing. ",,,cardiovascular
ERP-based Brain-Computer Interface recordings: Data generated as part of a study aimed at identifying the factors limiting the performance of brain-computer interfaces based on event-related potentials.,X,0,X,0,"12 separate folders for each subject in raw data of Physionet; however, the summary only reports 10 subjects",X,0,X,X,X,12,X,0,X,X,X,X,X,,Data were collected using a BioSemi ActiveTwo EEG system sampled at 2048 Hz. ,X, P300 amplitude changes,,,neuroelectric
"European ST-T Database: Annotated excerpts of ambulatory ECG recordings from 79 subjects, designed for evaluation of algorithms for analysis of ST and T-wave changes.",X,0,X,0,79 subjects,70 men; 8 women (information missing for 1 subject),1,70,8,1,79,Men: 30-84;      Women: 55-71               Average Age: 54.6 (ages for two participants are missing on Physionet raw data hea files),1,54.6,30,84,X,8 various Countries,X,not stated,X,ambulatory ECG recordings,,,cardiac_electrophysiology
Evoked Auditory Responses in Heading Impaired: Auditory Brainstem Response and Otoacoustic Emission recordings in eight hearing impaired listeners.,X,0,X,0,8,4 females; 4 males,1,4,4,X,8,"Average: 68.8 (not reported in summary; calculated by analyzing raw hea files);    Age range based on analyzing raw data files is 40-87, although it reports 40-85 on Physionet description of data",1,68.8,40,87,USA,"Boston, Massachusetts (Northeastern University)",Patients with known history of hearing impairment confirmed through clinical tests and thresholds higher than 25 dB HL (at least one octave frequency between 250 Hz to 8 kHz),stimuli were generated in MATLAB (2006b running on Ubuntu) and converted from digital (48-kHz sampling frequency) to analog using a 24-bit Lynx Two sound card. The analog signal was then passed through a Tucker-Davis Technologies HB7 headphone buffer and presented monaurally via the two transducers of the Etymotic ER-10C to a listener inside a double-walled sound-attenuating booth.,X,contains evoked Auditory Brainstem Response (ABR) and Otoacoustic Emission (OAE) recordings in hearing impaired individuals,,,neuroelectric
Evoked Auditory Responses in Normals: Auditory Brainstem Response and Otoacoustic Emission recordings generated as part of a study examining evoked potentials and loudness growth.,X,0,X,0,8,4 females; 4 females (not stated on PhysioNet database but in respective publication),1,4,4,,8,19-31 (stated in publication but not on PhysioNet),1,X,19,31,USA,"Boston, Massachusetts (Northeastern University)",Patients had no history of hearing difficulties and their audiometric thresholds did not exceed 15 DB HL at octave frequencies from 250 Hz to 8 kHz," electrode signal was then sent to a GRASS QP511 Quad AC Amplifier, where it was band-pass filtered from 30-3000 Hz, amplified by a factor of 50000, sent to a 32-bit Lynx Two Soundcard (outside the booth), and sampled at 48 kHz",X,auditory brainstem response (ABR) and otoacoustic emissions (OAE) and two sets of psychoacoustical estimates of loudness as a function of peak sound pressure level (peSPL,,,neuroelectric
